offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374303291	13374303821	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWillIPassExam.patternxml	256	256	1	DATA	13374303547	274	None	
13374303821	13374304389	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWillMyExamResultBeGood.patternxml	276	276	1	DATA	13374304097	292	None	
13374304389	13374304922	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWillYouMarryMe.patternxml	257	257	1	DATA	13374304646	276	None	
13374304922	13374305464	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWinterHolidayJoke.patternxml	260	260	1	DATA	13374305182	282	None	
13374305464	13374306003	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWinterHolidayRap.patternxml	259	259	1	DATA	13374305723	280	None	
13374306003	13374306524	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWishMeLuck.patternxml	253	253	1	DATA	13374306256	268	None	
13374306524	13374307024	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWoW.patternxml	246	246	1	DATA	13374306770	254	None	
13374307024	13374307542	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWoodchuck.patternxml	252	252	1	DATA	13374307276	266	None	
13374307542	13374308072	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWordsOfWisdom.patternxml	256	256	1	DATA	13374307798	274	None	
13374308072	13374308608	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYearEndGreeting.patternxml	258	258	1	DATA	13374308330	278	None	
